symbol,lastPrice,priceChangePercent,quoteVolume,timestamp
ETHBTC,0.03497,-1.075,679.30963406,2025-10-31 12:48:46.902247
LTCBTC,0.000856,-3.386,19.37844309,2025-10-31 12:48:46.902247
BNBBTC,0.009979,-0.459,210.67332183,2025-10-31 12:48:46.902247
NEOBTC,4.527e-05,-3.124,0.48682782,2025-10-31 12:48:46.902247
QTUMETH,0.0004756,-4.132,2.1808654,2025-10-31 12:48:46.902247
EOSETH,0.0003067,-0.325,117.17343445,2025-10-31 12:48:46.902247
SNTETH,1.7e-05,15.725,160.35207145,2025-10-31 12:48:46.902247
BNTETH,0.0002026,-8.574,57.33680762,2025-10-31 12:48:46.902247
BCCBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
GASBTC,2.3e-05,-1.288,0.07389465,2025-10-31 12:48:46.902247
BNBETH,0.2856,0.741,1303.772788,2025-10-31 12:48:46.902247
BTCUSDT,109650.07,-1.637,2655347592.998502,2025-10-31 12:48:46.902247
ETHUSDT,3834.15,-2.708,1870002574.287226,2025-10-31 12:48:46.902247
HSRBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
OAXETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
DNTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MCOETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ICNETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MCOBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
WTCBTC,2.4e-07,-73.034,8.84776703,2025-10-31 12:48:46.902247
WTCETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
LRCBTC,6e-07,-3.226,0.66137072,2025-10-31 12:48:46.902247
LRCETH,1.715e-05,-3.706,4.16406262,2025-10-31 12:48:46.902247
QTUMBTC,1.669e-05,-5.385,0.19527565,2025-10-31 12:48:46.902247
YOYOBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
OMGBTC,3.08e-05,-14.917,19.34446564,2025-10-31 12:48:46.902247
OMGETH,0.000791,-25.095,314.520963,2025-10-31 12:48:46.902247
ZRXBTC,1.68e-06,-1.754,0.04739469,2025-10-31 12:48:46.902247
ZRXETH,9.94e-05,-32.838,249.5760308,2025-10-31 12:48:46.902247
STRATBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
STRATETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
SNGLSBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
SNGLSETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BQXBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BQXETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
KNCBTC,2.65e-06,-0.376,0.21577546,2025-10-31 12:48:46.902247
KNCETH,0.0003941,-20.975,149.49148975,2025-10-31 12:48:46.902247
FUNBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
FUNETH,1.46e-06,-20.219,88.2224677,2025-10-31 12:48:46.902247
SNMBTC,5.7e-07,-52.101,12.82046841,2025-10-31 12:48:46.902247
SNMETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
NEOETH,0.004775,-16.155,187.72666444,2025-10-31 12:48:46.902247
IOTABTC,1.27e-06,-0.781,0.2492097,2025-10-31 12:48:46.902247
IOTAETH,3.595e-05,-0.305,1.40954187,2025-10-31 12:48:46.902247
LINKBTC,0.0001574,-4.664,21.584494,2025-10-31 12:48:46.902247
LINKETH,0.004497,-3.704,376.59940104,2025-10-31 12:48:46.902247
XVGBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
XVGETH,1.45e-06,0.0,4.44504094,2025-10-31 12:48:46.902247
SALTBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
SALTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MDABTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MDAETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MTLBTC,4.12e-06,-3.059,0.22747801,2025-10-31 12:48:46.902247
MTLETH,0.0006834,-19.163,247.99011545,2025-10-31 12:48:46.902247
SUBBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
SUBETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
EOSBTC,7.16e-06,5.294,7.25899271,2025-10-31 12:48:46.902247
SNTBTC,3.2e-07,45.455,6.22627057,2025-10-31 12:48:46.902247
ETCETH,0.00407,0.494,43.6873154,2025-10-31 12:48:46.902247
ETCBTC,0.0001424,-1.042,3.096336,2025-10-31 12:48:46.902247
MTHBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
MTHETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ENGBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
ENGETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
DNTBTC,1.86e-06,-17.333,16.34056788,2025-10-31 12:48:46.902247
ZECBTC,0.0034897,8.544,315.85444708,2025-10-31 12:48:46.902247
ZECETH,0.09971,9.559,324.72853837,2025-10-31 12:48:46.902247
BNTBTC,7.94e-06,-2.337,1.08022975,2025-10-31 12:48:46.902247
ASTBTC,1.24e-06,-4.615,2.75877802,2025-10-31 12:48:46.902247
ASTETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
DASHBTC,0.0004359,4.608,4.65414924,2025-10-31 12:48:46.902247
DASHETH,0.01247,5.947,36.94632245,2025-10-31 12:48:46.902247
OAXBTC,3.8e-07,-55.294,3.95122264,2025-10-31 12:48:46.902247
ICNBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
BTGBTC,0.000913,-2.248,25.35711222,2025-10-31 12:48:46.902247
BTGETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
EVXBTC,0.0,0.0,0.0,2025-10-31 12:48:46.902247
EVXETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
REQBTC,1.12e-06,1.818,0.38697687,2025-10-31 12:48:46.902247
REQETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
VIBBTC,5.1e-07,-12.069,4.88009023,2025-10-31 12:48:46.902247
VIBETH,3.45e-05,-7.358,129.83515609,2025-10-31 12:48:46.902247
HSRETH,0.0,0.0,0.0,2025-10-31 12:48:46.902247
TRXBTC,2.7e-06,1.124,19.86926745,2025-10-31 12:48:46.902247
TRXETH,7.698e-05,2.19,2156.90130913,2025-10-31 12:48:46.902247
POWRBTC,9.7e-07,-3.96,0.11863039,2025-10-31 12:48:46.902247
